Days_Count,population,Area,Density,count
6,10,5.0,2.0,128
7,10,5.0,2.0,142
9,7,5.0,1.4,167
10,6,5.0,1.2,182
11,6,5.0,1.2,200
12,5,5.0,1.0,221
13,5,5.0,1.0,239
14,5,5.0,1.0,258
15,5,5.0,1.0,292
16,4,5.0,0.8,307
17,3,5.0,0.6,317
18,3,5.0,0.6,329
19,3,5.0,0.6,341
20,2,5.0,0.4,341
21,2,5.0,0.4,353
22,1,5.0,0.2,359
23,1,5.0,0.2,364
24,1,5.0,0.2,367
25,1,5.0,0.2,368
26,1,5.0,0.2,368
1,10,5.0,2.0,0
2,10,5.0,2.0,36
3,10,5.0,2.0,56
4,9,5.0,1.8,86
6,9,5.0,1.8,113
7,9,5.0,1.8,128
8,8,5.0,1.6,144
9,8,5.0,1.6,158
10,7,5.0,1.4,173
11,7,5.0,1.4,193
12,6,5.0,1.2,215
13,6,5.0,1.2,237
14,5,5.0,1.0,257
15,5,5.0,1.0,289
16,4,5.0,0.8,304
17,4,5.0,0.8,315
18,3,5.0,0.6,324
19,3,5.0,0.6,334
20,2,5.0,0.4,340
21,2,5.0,0.4,353
22,2,5.0,0.4,365
23,1,5.0,0.2,369
24,1,5.0,0.2,369
25,1,5.0,0.2,369
1,10,5.0,2.0,0
2,10,5.0,2.0,45
3,10,5.0,2.0,66
4,9,5.0,1.8,100
6,9,5.0,1.8,123
7,9,5.0,1.8,139
8,9,5.0,1.8,156
9,8,5.0,1.6,180
10,7,5.0,1.4,198
11,6,5.0,1.2,219
12,6,5.0,1.2,238
13,6,5.0,1.2,259
14,5,5.0,1.0,278
15,5,5.0,1.0,308
16,4,5.0,0.8,323
17,4,5.0,0.8,334
18,3,5.0,0.6,344
19,2,5.0,0.4,351
20,2,5.0,0.4,361
21,2,5.0,0.4,372
22,1,5.0,0.2,378
23,1,5.0,0.2,383
24,1,5.0,0.2,385
25,1,5.0,0.2,387
1,10,5.0,2.0,0
3,10,5.0,2.0,39
4,10,5.0,2.0,63
5,9,5.0,1.8,96
6,9,5.0,1.8,96
7,8,5.0,1.6,111
8,8,5.0,1.6,125
9,7,5.0,1.4,148
10,7,5.0,1.4,163
11,6,5.0,1.2,180
12,6,5.0,1.2,204
13,5,5.0,1.0,223
14,5,5.0,1.0,243
15,5,5.0,1.0,277
16,4,5.0,0.8,292
17,4,5.0,0.8,303
18,3,5.0,0.6,313
19,3,5.0,0.6,321
20,2,5.0,0.4,329
21,2,5.0,0.4,342
22,1,5.0,0.2,348
23,1,5.0,0.2,351
24,1,5.0,0.2,354
25,1,5.0,0.2,354
